arquitetura,carga_vus,replica,inicio,fim,duracao_s,lat_avg_ms,lat_med_ms,lat_p90_ms,lat_p95_ms,lat_max_ms,lat_min_ms,throughput_rps,total_reqs,taxa_erro,reqs_falhas,reqs_sucesso,vus_min,vus_max_atingido,iterations,cpu_util_pct,cpu_credit_balance,cpu_surplus_credit,cpu_util_peak_pct,cpu_util_pct_ec2_1,cpu_credit_balance_ec2_1,cpu_surplus_credit_ec2_1,cpu_util_peak_pct_ec2_1,cpu_util_pct_ec2_2,cpu_credit_balance_ec2_2,cpu_surplus_credit_ec2_2,cpu_util_peak_pct_ec2_2,cpu_util_pct_media_instancias,cpu_util_pct_max_instancia,alb_target_response_time_p95_ms,alb_active_connections,alb_healthy_host_count
A1,1000,rep05,2026-06-24T01:49:49+00:00,2026-06-24T01:54:19+00:00,270.0,2251.412588088186,1.064081,53.3945523,2988.5138301499933,60009.28043,0.0,145.75867507715245,39300,0.0979898218829516,3851,35449,5,1000,39300,57.13149901570779,117.31483533333332,0.0,77.38184608711609,,,,,,,,,,,,,
A1,1000,rep06,2026-06-24T01:56:22+00:00,2026-06-24T02:00:52+00:00,270.0,2230.0422620273325,0.992199,53.38842840000001,3106.254149299994,60010.268878,0.0,146.1561286404756,39259,0.0986015945388318,3871,35388,12,1000,39259,35.69659819864984,108.65534665,0.0,75.54040765987233,,,,,,,,,,,,,
A1,1000,rep07,2026-06-12T01:51:17+00:00,2026-06-12T01:55:47+00:00,270.0,2238.4123115882694,1.363376,53.7824342,2905.371519299973,60046.758614,0.0,146.2305996862847,39279,0.0980167519539703,3850,35429,13,1000,39279,8.437301203865264,112.84105761666666,0.0,41.36987672443992,,,,,,,,,,,,,
A1,1000,rep08,2026-06-12T02:20:51+00:00,2026-06-12T02:25:21+00:00,270.0,2340.5125848208622,1.438996,53.8353674,5486.0688362,60034.102854,0.0,145.11373173600188,39178,0.0966869161263974,3788,35390,11,1000,39178,52.72892739036968,117.23447766888889,0.0,77.75631525485821,,,,,,,,,,,,,
A1,1000,rep09,2026-06-12T02:50:25+00:00,2026-06-12T02:54:55+00:00,270.0,2265.7131263123365,1.329526,53.7272916,3422.474741899867,60133.024161,0.0,145.96000573153995,39250,0.0978598726114649,3841,35409,7,1000,39250,58.329281491965695,117.73274581666666,0.0,76.6464074598285,,,,,,,,,,,,,
A1,1000,rep10,2026-06-12T03:19:58+00:00,2026-06-12T03:24:27+00:00,269.0,2193.767745182753,1.271548,53.4072781,2367.5183944000178,60002.60267,0.0,146.88068909771124,39348,0.0985310562163261,3877,35471,1,1000,39348,54.10321195269473,117.11674533593556,0.0,78.47806177670469,,,,,,,,,,,,,
A1,1000,rep11,2026-06-24T02:02:55+00:00,2026-06-24T02:07:25+00:00,270.0,2269.9496412929902,1.134215,53.5428402,3757.2971882001616,60003.941722,0.0,146.35079603761082,39313,0.0975249917330145,3834,35479,13,1000,39313,37.90528055935,105.85842414320987,0.0,78.24166666666666,,,,,,,,,,,,,
A1,1000,rep12,2026-06-24T02:09:28+00:00,2026-06-24T02:13:58+00:00,270.0,2339.504129541666,1.133739,53.4119446,5467.382477899912,60001.891276,0.0,145.73510992413182,39215,0.0963661864082621,3779,35436,1,1000,39215,54.15995992135741,103.52030463333334,0.0,78.24166666666666,,,,,,,,,,,,,
A1,1000,rep13,2026-06-24T02:16:02+00:00,2026-06-24T02:20:33+00:00,271.0,2254.67246431811,1.223428,53.5650425,3088.0133558498383,60006.740152,0.0,145.60925654673952,39270,0.0980392156862745,3850,35420,13,1000,39270,34.07972679848314,94.73268016666668,0.0,75.80833333333334,,,,,,,,,,,,,
A1,1000,rep14,2026-06-24T02:22:36+00:00,2026-06-24T02:27:07+00:00,271.0,2288.000038243978,1.060516,53.532718200000005,4180.22137359967,60023.847053,0.0,145.59178300671093,39247,0.0976125563737355,3831,35416,13,1000,39247,36.97425748068586,91.8846868289668,0.0,77.675,,,,,,,,,,,,,
